model,checkpoint,stratum,sample_count,point_global_relative_rmse_pct,sample_first_cv_relative_rmse_pct,raw_cv_weighted_rmse_K,amplitude_ratio,spatial_correlation,hotspot_cv_weighted_rmse_K,top5_cv_weighted_rmse_K,strong_q_cv_weighted_rmse_K,low_deltaT_background_bias_K,low_deltaT_background_rmse_K,low_deltaT_background_over_ratio,shape_cv_rmse,scale_log_rmse,legacy_normalized_valid_base_mse,signed_scale_error_mean,signed_scale_error_median
O075,final,scale_signed_central_p10_p90,102,16.545865904283975,16.21146135977793,0.11102525657795613,0.9994585320382726,0.9810282031014472,0.20996117841132594,0.3038202153457307,0.23859087745252777,0.004691274303309496,0.014753373396428938,0.4359160599908416,0.14186669685573153,0.08100999202155734,0.01535848067662837,-0.0037992644008260873,0.00045090004147136184
O075,final,scale_signed_high_p90,13,27.610868096496095,32.89831773372941,0.1754726878167959,1.262150539933549,0.9769847363133272,0.38986823805958826,0.5401984666520252,0.42680137136499163,0.016546018828722763,0.035258825456671986,0.4712057183774797,0.16644367443457794,0.2390871409096856,0.03985889055101208,0.2308346796486007,0.20177626013973174
O075,final,scale_abs_error_top10pct,13,40.94353608709681,38.93407647618409,0.4006169989083929,0.8729313375195372,0.9788759492406958,0.9889747709452956,1.7300760704271292,1.344272394584599,0.005667172645783934,0.027153055757429063,0.4542344929239909,0.17536018527579086,0.40078004657077027,0.20809640520464304,-0.20044399744979347,-0.3771913310490986
Dual,point_global_best,Q1,32,21.749500259367846,20.943712800485375,0.02180646313022992,1.0022617733205854,0.9770793052655,0.0401557995723001,0.05421932102837168,0.03800284941191956,0.0028664641394391824,0.006014403323253139,0.48550223233369066,0.14937563342061155,0.18520621902299628,0.0006476032726397663,-0.014243505923522463,-0.0007608072268020325
Dual,point_global_best,Q2,32,30.21860231555294,25.454870207419987,0.07623824677031861,1.042635556905699,0.9741562070047762,0.16639826136005578,0.27251692566107877,0.18964970436083356,0.007297507756142898,0.015166825680105139,0.47974825786816283,0.17224485188885102,0.22483164421549848,0.007190307862208202,0.01802938025294183,0.0398929253437314
Dual,point_global_best,Q3,32,22.20637776883354,19.206384878347972,0.11983142964049143,1.0131372195160762,0.9842764245491578,0.28985968415872176,0.42864844452256723,0.30803229492469464,0.006923483604659796,0.019325395217356836,0.4455904888781673,0.13949959001658918,0.1489052192932285,0.01854882669162302,0.0020604943237303684,0.01939784615693402
Dual,point_global_best,Q4,32,22.754213969213914,19.94653712858148,0.2921790556977582,0.9588773484242956,0.9816705859957211,0.7025750827493721,1.0614389752355295,0.8812300764435519,0.014824412653437237,0.045362209220283806,0.42995118354007267,0.1505801373780089,0.17003642146077966,0.11053104728774767,-0.054549548163745354,-0.03733436267336941
Dual,point_global_best,nominal_to_hard,81,21.95862685474308,22.999297311487464,0.162006318307147,0.9936711078799824,0.9799819578690804,0.3597446943210937,0.5699051867591605,0.45822948917532874,0.009169991534023494,0.021006089677421923,0.48546963854354913,0.1627836472135961,0.1997261708243366,0.03329462935513098,-0.025621826207329383,-0.024186651180599622
Dual,point_global_best,Q2_intersection_nominal_to_hard,21,34.00570999599423,29.300913690405956,0.08575216974040095,1.0281622739031937,0.9740363694649633,0.21230856598655906,0.37097572776488635,0.2534140520655594,0.006274709592023735,0.011672183575037135,0.5225754478269985,0.1868601696959636,0.26668043494835897,0.008987582405051922,-0.006199866483553347,0.0660204611524015
Dual,point_global_best,scale_signed_low_p10,13,34.85871393299135,35.82617041450477,0.3324964468421176,0.6858149818443846,0.9734861242951501,0.7111425376773681,1.1779349238882135,0.8809191418448236,0.0013507281379800454,0.020157494202312252,0.33290714327796367,0.1959004320843007,0.40574553966544874,0.139713561286225,-0.3850214385190637,-0.3344339769929043
Dual,point_global_best,scale_signed_central_p10_p90,102,18.293799965644823,16.949268338165002,0.126885988318329,1.0025746462546163,0.982156008934946,0.2397746661331585,0.34340751830339866,0.27437824900377183,0.00775671969828907,0.020947445526615253,0.4613669032317948,0.14146604909104515,0.10004451106433584,0.02141765715881056,-0.0023745756817786456,0.002226767007211284
Dual,point_global_best,scale_signed_high_p90,13,35.125336491371726,41.77558266102475,0.15519338080803752,1.3356132353373198,0.962662169452578,0.3589056581158798,0.5998181883713889,0.4540574893957344,0.01634114660757737,0.026855061674396212,0.5783178624297223,0.19985878324210973,0.30240743760018435,0.029268599748876554,0.2837679750730915,0.22481941095715932
Dual,point_global_best,scale_abs_error_top10pct,13,37.647873475440804,45.679111766813584,0.28979953923926943,0.9679977663255479,0.9722997892610729,0.6429281783221938,1.1381283845860921,0.8554291002276605,0.007111335633072879,0.019488039237551262,0.4418439813569133,0.2001423420819582,0.4441279745486926,0.10035115396866502,-0.12540744881166718,-0.3344339769929043
Dual,sample_first_best,Q1,32,20.548705068390234,19.452165541319726,0.020384543392932455,0.9779542808803183,0.9792499770704737,0.038781741830566076,0.05405642362735284,0.03745542181020757,0.0018555663785017004,0.005032018100560583,0.41429174225176035,0.14223304822988736,0.18689977910157435,0.0005780686102061687,-0.0380998214693521,-0.021427386733902588
Dual,sample_first_best,Q2,32,28.578198705897034,23.897479149546268,0.07205698914531362,1.032330165439176,0.977620039252356,0.15817392980538242,0.2573358957311655,0.18452322788733994,0.004924644558934739,0.012826178614454177,0.39894993467350415,0.162026814589534,0.2181387276243688,0.006430850925411065,0.009497826805299415,0.008406942439439402
Dual,sample_first_best,Q3,32,22.316537556917773,19.1421396991811,0.12026043445640988,1.0010961775693044,0.9844048003194571,0.2879895732965746,0.424735523570197,0.3038092655435572,0.005130388062237784,0.01832981460480702,0.3877560539268622,0.1379567717451362,0.1546275654929441,0.018733314504309827,-0.010657551283027427,0.004225567794647475
Dual,sample_first_best,Q4,32,23.626260201133466,20.318192338856804,0.3048906351666243,0.9458144551374412,0.9811496105951799,0.7290172618960828,1.094121852017694,0.914573697017117,0.012659380853156732,0.04395554665224851,0.40787680070621335,0.151840787072555,0.17988116380432392,0.11916550971228199,-0.06903426575117713,-0.05706891164263496
Dual,sample_first_best,nominal_to_hard,81,22.33009267221847,22.843259749929594,0.16541287116484474,0.987684705295489,0.9809897666729438,0.3649775207973466,0.5780239210824982,0.46430244157597117,0.006858265735790281,0.01882945065843315,0.42280251680790765,0.15861225484704833,0.206585935065055,0.03443062275228457,-0.03258859970136765,-0.028621723157676856
Dual,sample_first_best,Q2_intersection_nominal_to_hard,21,32.749032122435025,27.975937223082823,0.08254804326719763,1.0258746899140327,0.9769215076782038,0.20507811071217535,0.35340831119891486,0.24760651966524452,0.004280231760758176,0.009421292271838204,0.43758242813374176,0.17560276485931636,0.26232743090326455,0.008335585877466405,-0.0069852871934134916,0.06966188205170375
Dual,sample_first_best,scale_signed_low_p10,13,36.98915715834489,36.988016867553675,0.35468172322723646,0.6699147158901931,0.9735560339435632,0.7560250335571141,1.2513388899854374,0.9293397178563777,-0.000713985272017098,0.020390597721880385,0.2687785207185936,0.1931104599928449,0.43097590722590934,0.1572832406434134,-0.40940701787537626,-0.362703600681576
