group_id,family,block_index,support_node_count,coordinate_sha256,support_index_sha256,solver_node_count
rb_g007,q,9,10,47aca93e023cc8e653ca272a70cc317b7d0943bb6d27b5d765fddb64dbaf4d31,2a2d74034a7ccb59f85bd259110f097cc8ee5beb9fef67a547c825ffb4dac0ec,240825
rb_g007,k,0,65,47aca93e023cc8e653ca272a70cc317b7d0943bb6d27b5d765fddb64dbaf4d31,2a2d74034a7ccb59f85bd259110f097cc8ee5beb9fef67a547c825ffb4dac0ec,240825
rb_g007,k,1,52,47aca93e023cc8e653ca272a70cc317b7d0943bb6d27b5d765fddb64dbaf4d31,2a2d74034a7ccb59f85bd259110f097cc8ee5beb9fef67a547c825ffb4dac0ec,240825
rb_g008,q,0,36,0f88fb3f6da431502e30020fd815e8692213116d21079c8adc72e1cc0843162d,0c75194870cdba94860da60573d35f875dc60380ce0026092b34a5ff570db54c,240825
rb_g008,q,1,43,0f88fb3f6da431502e30020fd815e8692213116d21079c8adc72e1cc0843162d,0c75194870cdba94860da60573d35f875dc60380ce0026092b34a5ff570db54c,240825
rb_g008,q,2,24,0f88fb3f6da431502e30020fd815e8692213116d21079c8adc72e1cc0843162d,0c75194870cdba94860da60573d35f875dc60380ce0026092b34a5ff570db54c,240825
rb_g008,k,0,24,0f88fb3f6da431502e30020fd815e8692213116d21079c8adc72e1cc0843162d,0c75194870cdba94860da60573d35f875dc60380ce0026092b34a5ff570db54c,240825
rb_g008,k,1,27,0f88fb3f6da431502e30020fd815e8692213116d21079c8adc72e1cc0843162d,0c75194870cdba94860da60573d35f875dc60380ce0026092b34a5ff570db54c,240825
rb_g008,k,2,53,0f88fb3f6da431502e30020fd815e8692213116d21079c8adc72e1cc0843162d,0c75194870cdba94860da60573d35f875dc60380ce0026092b34a5ff570db54c,240825
rb_g008,k,3,58,0f88fb3f6da431502e30020fd815e8692213116d21079c8adc72e1cc0843162d,0c75194870cdba94860da60573d35f875dc60380ce0026092b34a5ff570db54c,240825
rb_g008,k,4,26,0f88fb3f6da431502e30020fd815e8692213116d21079c8adc72e1cc0843162d,0c75194870cdba94860da60573d35f875dc60380ce0026092b34a5ff570db54c,240825
rb_g009,q,0,25,4c890f631cb72c1bac0ffd2de00faefc58396a0e5e809a83bb833db299400381,90707e3842bfb6b7c3e0afe5a865330b6bd483ee779e9772acd8774cc38c812d,240825
rb_g009,q,1,26,4c890f631cb72c1bac0ffd2de00faefc58396a0e5e809a83bb833db299400381,90707e3842bfb6b7c3e0afe5a865330b6bd483ee779e9772acd8774cc38c812d,240825
rb_g009,q,2,6,4c890f631cb72c1bac0ffd2de00faefc58396a0e5e809a83bb833db299400381,90707e3842bfb6b7c3e0afe5a865330b6bd483ee779e9772acd8774cc38c812d,240825
rb_g009,q,3,23,4c890f631cb72c1bac0ffd2de00faefc58396a0e5e809a83bb833db299400381,90707e3842bfb6b7c3e0afe5a865330b6bd483ee779e9772acd8774cc38c812d,240825
rb_g009,k,0,38,4c890f631cb72c1bac0ffd2de00faefc58396a0e5e809a83bb833db299400381,90707e3842bfb6b7c3e0afe5a865330b6bd483ee779e9772acd8774cc38c812d,240825
rb_g009,k,1,44,4c890f631cb72c1bac0ffd2de00faefc58396a0e5e809a83bb833db299400381,90707e3842bfb6b7c3e0afe5a865330b6bd483ee779e9772acd8774cc38c812d,240825
rb_g009,k,2,19,4c890f631cb72c1bac0ffd2de00faefc58396a0e5e809a83bb833db299400381,90707e3842bfb6b7c3e0afe5a865330b6bd483ee779e9772acd8774cc38c812d,240825
rb_g009,k,3,10,4c890f631cb72c1bac0ffd2de00faefc58396a0e5e809a83bb833db299400381,90707e3842bfb6b7c3e0afe5a865330b6bd483ee779e9772acd8774cc38c812d,240825
rb_g009,k,4,19,4c890f631cb72c1bac0ffd2de00faefc58396a0e5e809a83bb833db299400381,90707e3842bfb6b7c3e0afe5a865330b6bd483ee779e9772acd8774cc38c812d,240825
rb_g009,k,5,47,4c890f631cb72c1bac0ffd2de00faefc58396a0e5e809a83bb833db299400381,90707e3842bfb6b7c3e0afe5a865330b6bd483ee779e9772acd8774cc38c812d,240825
rb_g009,k,6,18,4c890f631cb72c1bac0ffd2de00faefc58396a0e5e809a83bb833db299400381,90707e3842bfb6b7c3e0afe5a865330b6bd483ee779e9772acd8774cc38c812d,240825
rb_g009,k,7,15,4c890f631cb72c1bac0ffd2de00faefc58396a0e5e809a83bb833db299400381,90707e3842bfb6b7c3e0afe5a865330b6bd483ee779e9772acd8774cc38c812d,240825
rb_g010,q,0,32,0abf2fccf1ca98b75b3ce3a0dcbe4d88e7139b05d89892fc3464c7fbf3f3dff6,3e70cf5301b019ad9b6e7baed1091cf1880b9c18191da15f18657d43991425cc,240825
rb_g010,q,1,29,0abf2fccf1ca98b75b3ce3a0dcbe4d88e7139b05d89892fc3464c7fbf3f3dff6,3e70cf5301b019ad9b6e7baed1091cf1880b9c18191da15f18657d43991425cc,240825
rb_g010,q,2,18,0abf2fccf1ca98b75b3ce3a0dcbe4d88e7139b05d89892fc3464c7fbf3f3dff6,3e70cf5301b019ad9b6e7baed1091cf1880b9c18191da15f18657d43991425cc,240825
rb_g010,q,3,23,0abf2fccf1ca98b75b3ce3a0dcbe4d88e7139b05d89892fc3464c7fbf3f3dff6,3e70cf5301b019ad9b6e7baed1091cf1880b9c18191da15f18657d43991425cc,240825
rb_g010,q,4,48,0abf2fccf1ca98b75b3ce3a0dcbe4d88e7139b05d89892fc3464c7fbf3f3dff6,3e70cf5301b019ad9b6e7baed1091cf1880b9c18191da15f18657d43991425cc,240825
rb_g010,k,0,15,0abf2fccf1ca98b75b3ce3a0dcbe4d88e7139b05d89892fc3464c7fbf3f3dff6,3e70cf5301b019ad9b6e7baed1091cf1880b9c18191da15f18657d43991425cc,240825
rb_g010,k,1,23,0abf2fccf1ca98b75b3ce3a0dcbe4d88e7139b05d89892fc3464c7fbf3f3dff6,3e70cf5301b019ad9b6e7baed1091cf1880b9c18191da15f18657d43991425cc,240825
rb_g010,k,2,25,0abf2fccf1ca98b75b3ce3a0dcbe4d88e7139b05d89892fc3464c7fbf3f3dff6,3e70cf5301b019ad9b6e7baed1091cf1880b9c18191da15f18657d43991425cc,240825
rb_g010,k,3,68,0abf2fccf1ca98b75b3ce3a0dcbe4d88e7139b05d89892fc3464c7fbf3f3dff6,3e70cf5301b019ad9b6e7baed1091cf1880b9c18191da15f18657d43991425cc,240825
