route,sample_id,adaptive_full_rmse_K,fixed_full_rmse_K,delta_full_rmse_K,adaptive_source_rmse_K,fixed_source_rmse_K,delta_source_rmse_K,adaptive_peak_rmse_K,fixed_peak_rmse_K,delta_peak_rmse_K,adaptive_interface_rmse_K,fixed_interface_rmse_K,delta_interface_rmse_K
E32768_recon,v6p1if1_0543,2.382953247753032,2.5154850230715695,0.13253177531853755,3.101581062265716,4.577465631203479,1.4758845689377629,2.885181427001953,2.1478843688964844,-0.7372970581054688,0.31379602248515487,0.32254847248034463,0.00875244999518976
E32768_recon,v6p1if1_0632,1.3959874147660016,1.4850420321099513,0.0890546173439497,1.3506082061666802,2.6048252659823907,1.2542170598157105,0.6350173950195312,1.6132659912109375,0.9782485961914062,0.2689466885560079,0.2668260829767006,-0.002120605579307322
E32768_recon,v6p1if1_0599,0.757812808115935,0.8534999417456229,0.09568713362968795,2.895049869808444,5.920823222516964,3.02577335270852,4.9878997802734375,9.548519134521484,4.560619354248047,0.13108780806363612,0.2815813582306408,0.15049355016700466
E32768_recon,v6p1if1_0003,1.0552951799700419,1.8115159331313873,0.7562207531613454,2.347897051518949,3.762510088601822,1.4146130370828733,1.922210693359375,0.711212158203125,-1.21099853515625,0.24081008595013065,0.29420476105517906,0.05339467510504842
E32768_recon,v6p1if1_0029,1.1398626926403168,1.2137323008054577,0.07386960816514088,1.480959784743904,2.6712770722932144,1.1903172875493104,1.8181800842285156,3.86767578125,2.0494956970214844,0.19787103971879666,0.1755734882965866,-0.02229755142221007
E32768_recon,v6p1if1_0991,2.329883633129391,2.875522692444855,0.5456390593154641,4.214241814436987,7.8596587252057635,3.645416910768777,4.481559753417969,11.554359436035156,7.0727996826171875,0.31938550669291715,0.5174279874296855,0.1980424807367684
E32768_recon,v6p1if1_0109,1.2494198452718686,2.117075869250033,0.8676560239781645,2.5516946073419744,4.445911228012262,1.8942166206702877,5.108451843261719,6.4324493408203125,1.3239974975585938,0.14543584343378885,0.19858845759684857,0.05315261416305972
E32768_recon,v6p1if1_0365,0.5998497800163259,0.8071650589058176,0.20731527888949164,1.4614277436779395,2.467341045088594,1.0059133014106545,1.3509178161621094,2.070545196533203,0.7196273803710938,0.25366315364883224,0.2932515439896585,0.039588390340826285
E32768_recon,v6p1if1_0091,1.2500365370502908,1.2756073042301053,0.025570767179814435,3.5343383128029937,6.12370693546966,2.5893686226666666,3.383331298828125,0.5327606201171875,-2.8505706787109375,0.33232513073686887,0.2817100596593329,-0.05061507107753599
E32768_recon,v6p1if1_0930,1.1829385467597369,1.5474669945642654,0.36452844780452853,3.405264127218756,5.969322614403082,2.5640584871843264,3.9701194763183594,7.4331207275390625,3.463001251220703,0.31091670277425576,0.46509020930454653,0.15417350653029077
E32768_recon,v6p1if1_0175,5.543401489957676,5.798271328851275,0.25486983889359927,7.922804173664865,9.555817000577177,1.6330128269123119,6.9052886962890625,10.371284484863281,3.4659957885742188,0.7730445141198408,0.8630190466224203,0.08997453250257959
E32768_recon,v6p1if1_0915,0.5654056717872735,0.705199453461336,0.13979378167406242,1.0111166581046198,1.469779794986268,0.4586631368816483,1.5866928100585938,0.41748046875,-1.1692123413085938,0.09261384037502413,0.13267468970982393,0.04006084933479981
E32768_recon,v6p1if1_0869,0.8162783922245197,0.9921079850667789,0.17582959284225919,1.9220183542817246,2.643018387802132,0.7210000335204072,3.7008056640625,1.3536529541015625,-2.3471527099609375,0.2900134225398681,0.3149070405460818,0.024893618006213702
E32768_recon,v6p1if1_0522,3.5346842967133933,3.7015631203450554,0.16687882363166207,6.9853845111987365,7.693740326347504,0.7083558151487672,8.527114868164062,9.06353759765625,0.5364227294921875,0.5590933346125049,0.6661888994350725,0.10709556482256766
E32768_recon,v6p1if1_0118,2.5123261512453268,2.6506652411682796,0.13833908992295285,2.5296427115179276,6.997108472624352,4.467465761106425,2.0839080810546875,7.345527648925781,5.261619567871094,0.27326098747308303,0.4580376158060357,0.18477662833295266
E32768_recon,v6p1if1_0708,2.533782760883032,3.0579917107569092,0.5242089498738771,5.035040597479176,6.211336986131043,1.176296388651867,5.602134704589844,7.464683532714844,1.862548828125,0.5579988878747432,0.9325351816791186,0.3745362938043755
E32768_recon,v6p1if1_0817,0.44042554891762004,1.0790012508473776,0.6385757019297575,0.6452305013993821,2.3977717699969343,1.752541268597552,0.3739166259765625,3.4048614501953125,3.03094482421875,0.1614583305120571,0.18475141448408852,0.02329308397203142
E32768_recon,v6p1if1_1003,1.8334066935246847,2.2623956938773118,0.4289890003526271,2.583971670690299,3.960696123182153,1.376724452491854,0.7808685302734375,3.55364990234375,2.7727813720703125,0.22433457095282683,0.42563667620844864,0.2013021052556218
E32768_recon,v6p1if1_0697,2.0946599884791874,2.584578715215601,0.48991872673641357,4.259287988736602,5.2290587175021,0.9697707287654973,6.7353668212890625,7.0660552978515625,0.3306884765625,0.576708223139136,0.7924852782135912,0.21577705507445522
E32768_recon,v6p1if1_0907,3.261038837400475,3.3165268558822625,0.05548801848178764,4.045736764862648,4.729085519302398,0.6833487544397503,2.8922195434570312,3.8576126098632812,0.96539306640625,0.3462450273876139,0.29491385699107914,-0.051331170396534787
E32768_recon,v6p1if1_0203,2.7379080883415146,3.094120667456522,0.35621257911500726,4.167992563423507,5.885532449172383,1.7175398857488764,2.6387176513671875,6.5538330078125,3.9151153564453125,0.39479379012025023,0.4800060066258715,0.08521221650562127
