comparison,sample_id,deltaT_quartile,point_sse_delta_K2,outcome,P_operator_W,source_concentration,q_weighted_inverse_kz_mK_W,anisotropy_xy_over_z,log_top_h_W_m2K
shape_V32+scale_O075_minus_V32,sample_0664,Q2,-3.1382358834585533,win,0.9802573046665048,4.4193677679595424,0.05340892732282206,1.3173420880996793,7.442324973410449
shape_V32+scale_O075_minus_V32,sample_0674,Q4,0.07898895177061149,loss,3.1043330461635756,2.427666767620223,0.12705052854468768,0.9059558981795637,5.756142906572761
shape_V32+scale_O075_minus_V32,sample_0680,Q1,0.23209158560908383,loss,2.012422656722169,4.293854726394607,0.005095761791971884,1.4515550547699805,5.988731203180498
shape_V32+scale_O075_minus_V32,sample_0684,Q3,-12.06234811871739,win,0.7708304410513259,4.5402590858147835,0.01366756440172139,1.9835155231446353,7.686891509818828
shape_V32+scale_O075_minus_V32,sample_0699,Q4,-0.5640545202963914,win,1.1381847655277375,4.243248961150184,0.13319571572543723,0.6066693581588165,5.546427755514331
shape_V32+scale_O075_minus_V32,sample_0701,Q3,9.89530195737761,loss,1.076254521298532,4.158736068123027,0.12876591762400333,1.4225695805564917,7.8924211933691915
shape_V32+scale_O075_minus_V32,sample_0722,Q1,-0.02607718811272683,win,0.22829803894989922,7.564026179508226,0.004167619929228561,0.6418040256761285,7.990010071002044
shape_V32+scale_O075_minus_V32,sample_0730,Q2,-6.781400075849721,win,0.6166613998801311,6.022974209126477,0.027865131906182648,1.2915411227964952,6.462900898542177
shape_V32+scale_O075_minus_V32,sample_0734,Q2,-1.8348938059002924,win,0.44625861072811834,1.3159266150000457,0.14641365365417508,0.5354654514974531,7.714621337334704
shape_V32+scale_O075_minus_V32,sample_0735,Q3,0.39440480313421666,loss,0.8421971465344329,9.564516754328489,0.036666411227203446,0.4366688887862308,5.542795552620574
shape_V32+scale_O075_minus_V32,sample_0739,Q2,-0.8760826770952861,win,3.989765680275363,2.6697359890785695,0.01081118944197038,0.9426368769115506,7.162052910081434
shape_V32+scale_O075_minus_V32,sample_0740,Q4,-5.245080260294806,win,0.7639147944326209,1.422334417974261,0.16318425191139033,0.6635614376261189,5.3848839851181465
shape_V32+scale_O075_minus_V32,sample_0746,Q1,0.02880403557719047,loss,0.23129932224644603,3.0913683952909747,0.0261422587677295,1.0750950035622757,5.661120453612081
shape_V32+scale_O075_minus_V32,sample_0748,Q3,-5.938383604551109,win,0.4853490219230747,12.376385616496382,0.06674911442825157,1.781760189067043,7.588869188823273
shape_V32+scale_O075_minus_V32,sample_0752,Q4,-11.828599415128735,win,2.1777594257124395,4.3827204185850785,0.03691327829412637,0.6963208994585285,6.101604316396498
shape_V32+scale_O075_minus_V32,sample_0768,Q1,-0.027358807169476917,win,0.7309886198876508,1.3158451846300596,0.042006152215185714,1.4865679314356544,6.832423515917551
shape_V32+scale_O075_minus_V32,sample_0773,Q2,-7.001550450571226,win,2.1624894133638026,3.8304573445554833,0.008773153510124101,0.5318145558983951,6.050127794572655
shape_V32+scale_O075_minus_V32,sample_0777,Q4,-4.139139369213174,win,1.604376206000806,4.1262124500364274,0.05073661083531575,1.027946232446528,6.2176812600579385
shape_V32+scale_O075_minus_V32,sample_0783,Q2,1.2492432199146446,loss,0.28455534475428357,13.191125602708908,0.05462169042666753,1.1510597835100833,6.658261252947258
shape_V32+scale_O075_minus_V32,sample_0787,Q4,-0.7296644632097582,win,3.6208749868493975,2.031696112792292,0.06273824343292067,0.45728879598556577,7.848140456032114
shape_V32+scale_O075_minus_V32,sample_0788,Q2,0.027649709916537812,loss,0.26580518087438754,3.2838114639641884,0.12359931048762562,1.452340818665911,5.787251821013495
