population,sample_id,split_role,true_peak_deltaT_K,total_power_W,continuous_severity,absolute_peak_error_K,sample_peak_relative_error_pct,peak_error_sse_K2,peak_error_sse_rank,is_top5_sse,is_top10_sse
test128,v6p1if1_0372,test_iid,141.49807250222568,14.911098896544173,0.541413857601583,17.829505920410156,12.600529183978608,317.8912813659408,1,True,True
test128,v6p1if1_0299,test_iid,77.48508876219586,4.878533041840926,0.9489193689078093,1.9988327026367188,2.5796353008915025,3.9953321731300093,91,False,False
test128,v6p1if1_0733,test_iid,73.8445252671894,4.065331763881902,0.2734305886551738,3.87640380859375,5.249412592968641,15.02650648728013,50,False,False
test128,v6p1if1_0851,test_iid,85.98020927395163,10.372010962576569,0.5095462454482913,0.37151336669921875,0.43209172184670597,0.13802218163618818,124,False,False
test128,v6p1if1_0107,test_iid,47.05587639738411,3.538345978230673,0.0778530091047287,1.1994590759277344,2.5490101720736704,1.4387020748254145,112,False,False
test128,v6p1if1_0819,test_iid,86.39347789780692,11.747920394042051,0.41005620267242193,4.514793395996094,5.225849804700015,20.38335940852994,41,False,False
test128,v6p1if1_0270,test_iid,137.81419432497654,7.807049016509813,0.93192158639431,2.3302459716796875,1.6908606425436752,5.430046288529411,84,False,False
test128,v6p1if1_0768,test_iid,99.37509021749821,8.926171644018318,0.6021751873195171,6.212921142578125,6.2519904424540975,38.600389123894274,27,False,False
test128,v6p1if1_0280,test_iid,35.093049500487325,2.5213836996674015,0.0009340913966298103,2.0835647583007812,5.937257627815581,4.341242102032993,89,False,False
test128,v6p1if1_0263,test_iid,94.49793471757323,8.671577905796749,0.3186460752040148,8.618606567382812,9.120417915101864,74.28037916333415,15,False,False
test128,v6p1if1_0348,test_iid,61.575878916723866,5.007220932823879,0.3226512437686324,4.299858093261719,6.983023497036738,18.488779622188304,45,False,False
test128,v6p1if1_0790,test_iid,107.2846314837467,11.76120100806304,0.4551921794191003,2.37445068359375,2.2132253713836656,5.638016048818827,82,False,False
test128,v6p1if1_0169,test_iid,116.41214319300275,9.340258758637596,0.3332167863845825,5.340354919433594,4.587455202658437,28.519390665518586,32,False,False
test128,v6p1if1_0746,test_iid,85.58676115115134,7.839660827877335,0.7981442101299763,1.6805419921875,1.9635536730027234,2.8242213875055313,101,False,False
test128,v6p1if1_0761,test_iid,113.49252206910387,11.523519502819003,0.991501864977181,17.10760498046875,15.073772851793874,292.6701481677592,3,True,True
test128,v6p1if1_0505,test_iid,124.15512912205253,6.080592742251472,0.7772755110636353,6.316703796386719,5.0877509781951815,39.900746851286385,26,False,False
test128,v6p1if1_0767,test_iid,84.89329445947482,7.424438974191234,0.3819612627848983,8.847282409667969,10.421650456610989,78.27440603642026,13,False,False
test128,v6p1if1_0588,test_iid,62.702431863140646,4.837997621821689,0.105555210262537,2.8703651428222656,4.577757285534562,8.238996053129085,72,False,False
test128,v6p1if1_0552,test_iid,125.74428376899749,10.319654819208473,0.5427352823317051,5.33447265625,4.242318216269664,28.45659852027893,33,False,False
test128,v6p1if1_0334,test_iid,117.46154397980871,6.092298894596646,0.7785022687166929,3.5877227783203125,3.0543807417830564,12.871754734078422,58,False,False
test128,v6p1if1_0958,test_iid,64.26869500640498,3.54711743190114,0.14295860473066568,3.3972816467285156,5.2860597937922105,11.541522587198415,62,False,False
test128,v6p1if1_0720,test_iid,94.29008087807301,8.168995535427086,0.5059027867391706,1.3052597045898438,1.3843022430722929,1.7037028964259662,109,False,False
test128,v6p1if1_0061,test_iid,156.4683082742415,9.036450952938198,0.8304590610787272,6.184661865234375,3.952661042640365,38.25004238728434,28,False,False
test128,v6p1if1_0835,test_iid,133.49242889722404,13.730560189335968,0.9405197910964489,13.94403076171875,10.445559255240065,194.43599388375878,7,False,True
test128,v6p1if1_0275,test_iid,77.89136615869484,5.6683615290055025,0.34514267835766077,6.3304443359375,8.127273468332724,40.074525490403175,25,False,False
