comparison,variable,baseline,candidate,sample_id,deltaT_quartile,true_scale_cv_rms_K,baseline_point_error_squared_sum,candidate_point_error_squared_sum,delta_point_error_squared_sum,baseline_shape_point_sse_K2,candidate_shape_point_sse_K2,delta_shape_point_sse_K2,baseline_scale_point_sse_K2,candidate_scale_point_sse_K2,delta_scale_point_sse_K2,baseline_cross_point_sse_K2,candidate_cross_point_sse_K2,delta_cross_point_sse_K2
V42_minus_V38,objective,V38,V42,sample_0325,Q4,1.6250987103360819,98.01394434588266,66.80513186727916,-31.208812478603505,88.5643078854406,61.136638494995594,-27.427669390445004,16.69106668383053,10.45121536322326,-6.23985132060727,-7.24143022338845,-4.782721990939683,2.4587082324487675
V42_minus_V38,objective,V38,V42,sample_0334,Q1,0.009529631065595099,0.003317081114836493,0.004135225556302621,0.0008181444414661282,0.0014643493677950238,0.002511110152078958,0.0010467607842839341,0.0024060412837901717,0.0016832497591528508,-0.000722791524637321,-0.0005533095367487018,-5.9134354929187894e-05,0.0004941751818195139
V42_minus_V38,objective,V38,V42,sample_0348,Q4,1.7594226076455959,138.43538873755602,104.75222666670685,-33.68316207084918,123.77003746228996,103.56467648300404,-20.205360979285928,9.054800604415169,4.115925310414754,-4.938875294000415,5.6105506708508806,-2.928375126711913,-8.538925797562793
V42_minus_V38,objective,V38,V42,sample_0360,Q3,0.5414195306327659,21.922824181156088,18.084493877677712,-3.838330303478376,8.588453027059877,5.4393155594228455,-3.149137467637032,10.01650317210931,10.911092465285375,0.8945892931760646,3.317867981986902,1.73408585296949,-1.583782129017412
V42_minus_V38,objective,V38,V42,sample_0364,Q4,0.8546407191781071,25.46392436712678,34.80495639286714,9.341032025740361,25.522030103839178,32.621446145509424,7.099416041670246,0.0034168436512098466,0.7906359140128519,0.7872190703616421,-0.06152258036360353,1.3928743333448697,1.4543969137084731
V42_minus_V38,objective,V38,V42,sample_0371,Q3,0.6640046958425427,18.91891300453695,22.218784465081136,3.2998714605441855,17.253458976320605,23.03785412337896,5.784395147058355,0.5669116642827583,0.339601282279633,-0.2273103820031253,1.098542363933586,-1.158670940577451,-2.257213304511037
V42_minus_V38,objective,V38,V42,sample_0384,Q1,0.102519256834361,0.21268503612725365,0.18073766726581858,-0.031947368861435066,0.21429579293182155,0.17965223655431242,-0.03464355637750913,0.01182483149366886,0.011751175273208216,-7.36562204606446e-05,-0.013435588298236741,-0.010665744561702013,0.0027698437365347283
V42_minus_V38,objective,V38,V42,sample_0408,Q2,0.18930178633627778,3.5585080197688703,1.265050730715379,-2.2934572890534914,0.564746672261102,0.8426271422576549,0.2778804699965529,3.462269720132859,0.663017614886416,-2.799252105246443,-0.46850837262509126,-0.2405940264286916,0.22791434619639966
V42_minus_V38,objective,V38,V42,sample_0411,Q1,0.027465730895437586,0.09616663465768699,0.034999319274474756,-0.06116731538321223,0.014984703204599915,0.015063364728635408,7.866152403549279e-05,0.08847126446267496,0.021771921066577608,-0.06669934339609736,-0.0072893330095878985,-0.0018359665207382664,0.005453366488849632
V42_minus_V38,objective,V38,V42,sample_0419,Q3,0.4433530315066084,3.473538331443656,1.4942544065348744,-1.9792839249087817,2.488497685810566,1.486987608099437,-1.0015100777111288,1.0504580671442991,0.00523092132580968,-1.0452271458184894,-0.06541742151120822,0.0020358771096276734,0.06745329862083589
