sweep,route,mode,stage,median_s,p95_s,share_of_elapsed_median,measurement_count,execution_commit
K_plus_Q_scale,U_v2_16384_reconstruction,fresh_new_case,h2d_enqueue,0.025133937364444137,0.027781246230006218,0.04654694140388103,48,ebc7179f3187b639aafe2c106626e3b591d6bcc3
K_plus_Q_scale,U_v2_16384_reconstruction,fresh_new_case,h2d_sync,0.0015946950297802687,0.0018677176209166643,0.002953304730250891,48,ebc7179f3187b639aafe2c106626e3b591d6bcc3
K_plus_Q_scale,U_v2_16384_reconstruction,fresh_new_case,neural_forward,0.0019017669837921858,0.0023573358776047826,0.0035219884204707925,48,ebc7179f3187b639aafe2c106626e3b591d6bcc3
K_plus_Q_scale,U_v2_16384_reconstruction,fresh_new_case,query_graph,0.04908687551505864,0.05555008312221617,0.09090672444864543,48,ebc7179f3187b639aafe2c106626e3b591d6bcc3
K_plus_Q_scale,U_v2_16384_reconstruction,fresh_new_case,query_group_pack,0.012898898217827082,0.014267140487208962,0.023888189534887114,48,ebc7179f3187b639aafe2c106626e3b591d6bcc3
K_plus_Q_scale,U_v2_16384_reconstruction,fresh_new_case,reconstruction_apply,0.001309995073825121,0.0013630545465275646,0.0024260529918790643,48,ebc7179f3187b639aafe2c106626e3b591d6bcc3
K_plus_Q_scale,U_v2_16384_reconstruction,fresh_new_case,reconstruction_map,0.13829920417629182,0.14078058269806207,0.25612401509776755,48,ebc7179f3187b639aafe2c106626e3b591d6bcc3
K_plus_Q_scale,U_v2_16384_reconstruction,fresh_new_case,support_plus_cv,0.2623106609098613,0.2697402543388307,0.48578775326532103,48,ebc7179f3187b639aafe2c106626e3b591d6bcc3
K_plus_Q_scale,U_v2_16384_reconstruction,graph_only_reuse,anchor_group_pack,0.016832496970891953,0.01845325664617121,0.08196957255781848,48,ebc7179f3187b639aafe2c106626e3b591d6bcc3
K_plus_Q_scale,U_v2_16384_reconstruction,graph_only_reuse,dynamic_anchor_assembly,0.00016967719420790672,0.00020156316459178923,0.0008262806823065814,48,ebc7179f3187b639aafe2c106626e3b591d6bcc3
K_plus_Q_scale,U_v2_16384_reconstruction,graph_only_reuse,dynamic_query_assembly,0.007061569951474667,0.007594078057445585,0.0343878790835654,48,ebc7179f3187b639aafe2c106626e3b591d6bcc3
K_plus_Q_scale,U_v2_16384_reconstruction,graph_only_reuse,h2d_enqueue,0.0240664214361459,0.027039654878899453,0.117196770124395,48,ebc7179f3187b639aafe2c106626e3b591d6bcc3
