sample_id,split_role,full_field_cv_rmse_K,full_field_cv_relative_rmse,full_field_max_abs_error_K,max_abs_layer_average_error_K,max_abs_layer_drop_error_K,solver_peak_minus_projected_peak_K,energy_balance_relative_error
p1g_g029_t0_b1_p0,train,1.4710490404696805,0.043414866710326926,6.472152042154676,1.668549843724577,2.5980095263059866,0.1295866299642512,-1.194450024999405e-10
p1g_g029_t0_b1_p1,train,2.206573560634704,0.043414866710447836,9.708228062892431,2.5028247654992697,3.8970142893309117,0.19437994494029454,-8.44001165252924e-11
p1g_g029_t1_b0_p0,train,0.5081892840323121,0.018125014658847586,3.9828641675877634,0.5188156775001289,0.5982911023108386,0.1296968298887009,-1.1852726439220973e-10
p1g_g029_t1_b0_p1,train,0.7622839260412707,0.018125014659309626,5.974296251385226,0.7782235162506481,0.89743665344173,0.19454524483097657,-8.26780611566195e-11
p1g_g029_t1_b1_p0,train,1.1130453191294174,0.04485653348591827,4.7528877463083745,1.2133434721326353,1.9289854802970012,0.1297466400939129,-1.1815312617180496e-10
p1g_g029_t1_b1_p1,train,1.6695679786441928,0.04485653348614525,7.129331619286859,1.8200152081336114,2.893478220351426,0.1946199601418357,-8.230154520857032e-11
p1g_g030_t0_b0_p0,train,0.5403625629008424,0.013942813263664625,2.330570290110529,0.531554268120999,0.7934802180534462,0.0557595307056431,-1.2010221636660212e-10
p1g_g030_t0_b0_p1,train,0.8105438443362534,0.013942813263885526,3.495855435164458,0.7973314021821807,1.1902203270439031,0.08363929605661724,-8.503767134904194e-11
p1g_g030_t0_b1_p0,train,1.4588687555695887,0.04305042040941358,6.830476577403942,1.6628922303937657,2.596491974345497,0.05579333913908613,-1.1940797656206925e-10
p1g_g030_t0_b1_p1,train,2.1883031332833256,0.043050420409496956,10.245714865768775,2.494338345502399,3.8947379613900353,0.08369000870834498,-8.436155477890377e-11
p1g_g030_t1_b0_p0,train,0.4686602761692524,0.016711856798058276,2.3358174258881945,0.5344487883883176,0.5971466146758644,0.05589678022266753,-1.1845030858936845e-10
p1g_g030_t1_b0_p1,train,0.7029904142444718,0.01671185679841593,3.503726138827517,0.8016731825825332,0.895719921986597,0.08384517033357497,-8.261944600684856e-11
p1g_g030_t1_b1_p0,train,1.096658236245321,0.04418774150523826,5.06775481773991,1.2076886913353633,1.9274810786048988,0.05593034243815964,-1.1805575961254533e-10
p1g_g030_t1_b1_p1,train,1.6449873543160904,0.044187741505384945,7.601632226358504,1.8115330369359413,2.891221617809947,0.08389551365627312,-8.22428976772945e-11
p1g_g031_t0_b0_p0,train,0.5523976061330995,0.014272754733168799,2.459078024327596,0.5217695297790783,0.8059075500181052,0.10549578034232354,-1.201818297658086e-10
p1g_g031_t0_b0_p1,train,0.8285964091860565,0.014272754733428322,3.6886170364261375,0.7826542946694417,1.2088613249972582,0.15824367050959154,-8.511649024489643e-11
p1g_g031_t0_b1_p0,train,1.4784847547086026,0.04368428075096555,6.725628480775754,1.682348543887315,2.608495519225812,0.10551863324747046,-1.195091109407187e-10
p1g_g031_t0_b1_p1,train,2.2177271319919916,0.0436842807510755,10.088442720822115,2.5235228157431493,3.9127432787112184,0.15827794987063726,-8.445486902412351e-11
p1g_g031_t1_b0_p0,train,0.476683399742062,0.017031927045586294,2.2546481666788054,0.5246593136758406,0.6095345428662995,0.10559637821125989,-1.1856103598884005e-10
p1g_g031_t1_b0_p1,train,0.715025099605009,0.017031927045992747,3.381972250024603,0.7869889705146988,0.9143018142797814,0.15839456731168866,-8.270803023939048e-11
p1g_g031_t1_b1_p0,train,1.1147436905545607,0.04500082073344382,4.963473215979377,1.2270795145858528,1.9393676048087514,0.10561913641851106,-1.1816945338916085e-10
