sample_id,seed,model,label,sse,truth_sse,cv_sse,cv_truth_energy,absolute_error_sum,node_count,hotspot_sse,hotspot_count,sample_first_relative_rmse_pct,point_global_relative_rmse_pct,rmse_K,mae_K,peak_temperature_absolute_error_K,true_hotspot_region_rmse_K
v6p1if1_0632,1,Therm-FM,thermfm_seed1,133407.94266392937,949748642.0686939,2.1055192366719e-07,0.0014244063872481992,137893.3776664734,240825,3228.0465432363562,2409,1.215801432046379,1.1851859727603273,0.7442863580391113,0.5725874708459395,0.9674758911132812,1.1575812774759222
v6p1if1_0632,2,Therm-FM,thermfm_seed2,356969.7680362416,949748642.0686939,4.996066484150881e-07,0.0014244063872481992,234556.87558746338,240825,2739.424619031721,2409,1.8728247854386548,1.9387034264622252,1.217488685964489,0.9739722852173295,1.7890167236328125,1.0663782466732352
v6p1if1_0637,0,Heat3D,heat3d_seed0,259416.53996453164,366621601.6949707,4.2350959742998006e-07,0.0005680573497266716,228973.94912528992,240825,3414.565998307633,2409,2.7304582268487505,2.6600500371346465,1.037882159492974,0.9507897814815319,0.31109619140625,1.1905547050562972
v6p1if1_0637,1,Heat3D,heat3d_seed1,371214.0638683736,366621601.6949707,6.310119798333126e-07,0.0005680573497266716,277886.2539424896,240825,11262.713529193046,2409,3.332903278949463,3.182022055849955,1.2415420299526696,1.1538928846361034,1.467620849609375,2.162236124907725
v6p1if1_0637,2,Heat3D,heat3d_seed2,199699.7407885721,366621601.6949707,3.6235039818296894e-07,0.0005680573497266716,197969.6650981903,240825,8368.59414022902,2409,2.5256215806661295,2.3338864648476325,0.9106216388157632,0.8220478152110051,1.51800537109375,1.863836674252693
v6p1if1_0637,0,Therm-FM,thermfm_seed0,130073.65039024917,366621601.6949707,1.9092808134493477e-07,0.0005680573497266716,126073.55128097534,240825,8975.42662722939,2409,1.8333222637716307,1.8835868031846872,0.7349264531082333,0.52350690867217,1.3306884765625,1.9302303967368988
v6p1if1_0637,1,Therm-FM,thermfm_seed1,342557.62861880846,366621601.6949707,4.697586298598948e-07,0.0005680573497266716,242349.76893615723,240825,9421.108641232233,2409,2.87568486680314,3.0567350481004727,1.1926583065850016,1.0063314395771088,4.957241058349609,1.9775733733972747
v6p1if1_0637,2,Therm-FM,thermfm_seed2,162642.9855166798,366621601.6949707,2.8834854481047376e-07,0.0005680573497266716,146969.14652061462,240825,4974.724849552134,2409,2.25300829339979,2.1062438185942516,0.8218014143884605,0.6102736282388234,3.421703338623047,1.4370309853820715
v6p1if1_0650,0,Heat3D,heat3d_seed0,87341.69257069951,246377983.00061244,1.637992004799978e-07,0.0003941658465894567,117819.96043205261,240825,10128.966988303524,2409,2.0385266490877925,1.8828245574391265,0.6022267154480392,0.4892347573219251,1.972625732421875,2.0505207944717436
v6p1if1_0650,1,Heat3D,heat3d_seed1,91824.11136251189,246377983.00061244,9.495642358164648e-08,0.0003941658465894567,90997.28720283508,240825,24165.315508038562,2409,1.552110650319917,1.9305338426715886,0.6174866641396997,0.37785648168933905,3.355438232421875,3.1672171098386244
