comparison,baseline,candidate,sample_id,deltaT_quartile,true_scale_cv_rms_K,point_true_squared_sum,baseline_point_sse_K2,candidate_point_sse_K2,delta_point_sse_K2,baseline_sample_relative_pct,candidate_sample_relative_pct,delta_sample_relative_pct
V46_minus_V38,V38,V46,sample_0323,Q4,1.1575128402634633,1139.5867925495845,26.4780361165595,20.020703351205626,-6.4573327653538755,14.919435279787837,13.313510647381332,-1.6059246324065053
V46_minus_V38,V38,V46,sample_0325,Q4,1.6250987103360819,1926.2213582881873,98.01394434588266,100.7102381544804,2.69629380859773,22.55588427656356,23.110435434818633,0.5545511582550705
V46_minus_V38,V38,V46,sample_0334,Q1,0.009529631065595099,0.07691464630910275,0.003317081114836493,0.002589278898628099,-0.0007278022162083941,20.844716244766094,17.5935070712258,-3.2512091735402926
V46_minus_V38,V38,V46,sample_0348,Q4,1.7594226076455959,2206.8572181233667,138.43538873755602,104.28340409398064,-34.15198464357539,25.07211244513645,21.498063700706567,-3.5740487444298834
V46_minus_V38,V38,V46,sample_0360,Q3,0.5414195306327659,272.8303519265439,21.922824181156088,12.429485314061438,-9.49333886709465,26.062209432824613,19.640830963267685,-6.4213784695569265
V46_minus_V38,V38,V46,sample_0364,Q4,0.8546407191781071,552.4710459924131,25.46392436712678,37.05555196533835,11.591627598211574,21.444034297684517,25.80458682467997,4.360552526995454
V46_minus_V38,V38,V46,sample_0371,Q3,0.6640046958425427,314.10071711693416,18.91891300453695,30.95163631421083,12.03272330967388,23.872227557734956,31.292207645328002,7.419980087593045
V46_minus_V38,V38,V46,sample_0384,Q1,0.102519256834361,8.895322613334228,0.21268503612725365,0.20481247395470817,-0.007872562172545478,15.444080186354563,14.990175000969089,-0.4539051853854753
V46_minus_V38,V38,V46,sample_0408,Q2,0.18930178633627778,27.930643427313292,3.5585080197688703,3.193897906453411,-0.3646101133154591,36.34575974142675,34.1642699856399,-2.1814897557868527
V46_minus_V38,V38,V46,sample_0411,Q1,0.027465730895437586,0.5556297744257668,0.09616663465768699,0.02709308429075026,-0.06907355036693673,41.55101457322786,20.652626325600522,-20.898388247627334
V46_minus_V38,V38,V46,sample_0419,Q3,0.4433530315066084,171.89720292391914,3.473538331443656,1.2170291618484046,-2.2565091695952515,13.44007478438666,8.179846493036743,-5.260228291349916
V46_minus_V38,V38,V46,sample_0426,Q4,1.2874419959677592,1287.0359776530988,176.7999833147299,110.85988241810402,-65.94010089662588,38.19020956081182,30.65899987527488,-7.531209685536943
V46_minus_V38,V38,V46,sample_0427,Q3,0.40927183736751865,146.60270795615605,0.8488462676466926,1.848817572746807,0.9999713051001144,7.1092721113686554,11.752195319439803,4.642923208071148
V46_minus_V38,V38,V46,sample_0445,Q4,0.891042105596325,675.3812325884732,14.174474364477366,9.750346111105323,-4.424128253372043,14.103657004348092,11.467001794001824,-2.636655210346267
V46_minus_V38,V38,V46,sample_0446,Q1,0.1310501961976198,15.47927271896428,0.71540864439077,0.3165945341770598,-0.3988141102137102,21.96306342477288,15.086462823546743,-6.876600601226138
V46_minus_V38,V38,V46,sample_0454,Q3,0.4176986779773392,139.02311123740162,1.7716123177011365,1.2694463091327468,-0.5021660085683897,11.697793837763113,9.595354026977583,-2.1024398107855293
V46_minus_V38,V38,V46,sample_0460,Q1,0.1356497507851659,16.00060167059701,0.1148196751229191,0.09296547457283807,-0.021854200550081027,8.00825572247538,7.444047573891358,-0.5642081485840222
V46_minus_V38,V38,V46,sample_0463,Q2,0.19819539260262883,34.91315062030746,2.7515289176243645,2.540735928441181,-0.21079298918318345,27.60780078175296,27.1892035316589,-0.41859725009406046
V46_minus_V38,V38,V46,sample_0480,Q3,0.5908209952841686,269.8727620588004,12.167812710952019,34.90649943465787,22.738686723705847,21.919407334878304,35.86031746508208,13.940910130203783
V46_minus_V38,V38,V46,sample_0497,Q4,1.2061742300649378,1176.0474673036706,11.687142334245452,6.70641906771948,-4.980723266525972,9.553339819444547,7.3082589017739,-2.245080917670647
V46_minus_V38,V38,V46,sample_0515,Q4,1.1829935023061868,1070.1632997664547,28.057203485534153,44.74318968801053,16.68598620247638,16.62960054656334,20.914436999507952,4.284836452944613
V46_minus_V38,V38,V46,sample_0516,Q3,0.3631327000516148,106.25975135396128,1.298682677443528,1.506970328803688,0.20828765136015992,11.378355172495917,12.299530619790046,0.9211754472941286
V46_minus_V38,V38,V46,sample_0518,Q2,0.30127662022507934,67.1178795238855,28.579641708446353,56.656998274806966,28.077356566360613,64.1046679313518,88.17146952690112,24.066801595549325
V46_minus_V38,V38,V46,sample_0531,Q3,0.6941838932469186,403.6909313023152,11.563594060563297,9.802405322570685,-1.7611887379926117,17.289466242094544,16.03924147501827,-1.2502247670762774
V46_minus_V38,V38,V46,sample_0534,Q3,0.5440257418572824,201.18848756982345,20.73188255847758,19.496359433630786,-1.235523124846793,31.377483007439146,30.897123542669853,-0.48035946476929214
V46_minus_V38,V38,V46,sample_0545,Q2,0.1781799768004829,24.745995791246123,0.9277876454591825,1.6237850819496458,0.6959974364904633,19.02155719008669,25.19027256724084,6.168715377154152
V46_minus_V38,V38,V46,sample_0561,Q1,0.15197174668891367,19.576786587162875,3.1443903202536214,1.9849704068562706,-1.1594199133973508,40.81508846955083,31.022967865942665,-9.792120603608168
V46_minus_V38,V38,V46,sample_0562,Q3,0.5364410717359955,231.85180552644422,6.7574151852391156,6.180548469015116,-0.576866716224,16.48744975457483,16.142342583974482,-0.3451071706003478
V46_minus_V38,V38,V46,sample_0587,Q4,0.9443167116507968,720.2151963743522,20.88029040998041,20.430962422659,-0.44932798732141066,16.31530033505088,15.99145963474056,-0.3238407003103183
V46_minus_V38,V38,V46,sample_0588,Q2,0.31733188376254684,82.11239438444679,4.214321107288205,2.384790572521503,-1.8295305347667021,22.18005508492541,16.60560679195318,-5.574448292972231
V46_minus_V38,V38,V46,sample_0594,Q3,0.35887469769471425,102.9818822331721,2.918106058388411,1.9088346722956064,-1.0092713860928044,15.75890462237613,12.67745103340755,-3.0814535889685803
V46_minus_V38,V38,V46,sample_0599,Q3,0.5728209870138453,304.0703832535102,13.717067697422904,8.05756541282624,-5.659502284596664,20.7913215493361,17.09328896315129,-3.6980325861848073
V46_minus_V38,V38,V46,sample_0606,Q2,0.35486834510187976,90.38833166942254,22.86662679654105,11.741786106483978,-11.12484069005707,50.98077068589389,36.76265257191513,-14.21811811397875
V46_minus_V38,V38,V46,sample_0617,Q4,1.6954972295571176,2468.399626180542,198.7517451718269,309.28810276313123,110.53635759130432,28.305431350126064,35.66102885775959,7.355597507633527
V46_minus_V38,V38,V46,sample_0664,Q2,0.21182580625281516,32.002918567035266,1.332580036361606,5.421589850082996,4.08900981372139,20.554315616265324,40.22061290178297,19.666297285517643
V46_minus_V38,V38,V46,sample_0674,Q4,1.9653323024035245,2872.9429768082728,47.01739182494148,46.36493425697056,-0.6524575679709201,12.692572991110259,12.417066962352633,-0.2755060287576258
V46_minus_V38,V38,V46,sample_0680,Q1,0.13988127549974655,17.095024367698162,0.9856275890171042,1.1110430146662051,0.1254154256491009,22.808650723632887,25.349242011658347,2.5405912880254595
V46_minus_V38,V38,V46,sample_0684,Q3,0.4675902590684859,193.21391158654117,21.330010391675046,10.042840807094388,-11.287169584580658,32.254385770642045,22.069107482982435,-10.18527828765961
V46_minus_V38,V38,V46,sample_0699,Q4,1.0241175065901906,815.1160480403543,29.173405567021966,18.664822699013264,-10.508582868008702,18.42977238086459,14.511000210259919,-3.918772170604673
V46_minus_V38,V38,V46,sample_0701,Q3,0.6309969147914593,309.2087080620984,18.306307441640637,35.0048258569637,16.69851841532306,23.259238063960876,33.36889615167272,10.109658087711848
V46_minus_V38,V38,V46,sample_0722,Q1,0.03031260371682112,0.749841395382017,0.07206940954218113,0.022917741633034398,-0.04915166790914674,30.861799716974865,17.31543870710205,-13.546361009872815
